N = 100;S = 1.26388
N = 600;S = 0.907399
N = 1100;S = 0.892669
N = 1600;S = 0.947908
N = 2100;S = 1.00925
N = 2600;S = 0.972214
N = 3100;S = 0.947124
N = 3600;S = 0.972214
N = 4100;S = 1.00541
N = 4600;S = 0.93417
N = 5100;S = 0.947432
N = 5600;S = 0.930547
N = 6100;S = 0.948307
N = 6600;S = 0.933914
N = 7100;S = 0.865407
N = 7600;S = 0.97861
N = 8100;S = 0.944608
N = 8600;S = 0.971083
N = 9100;S = 0.908112
N = 9600;S = 0.997532
N = 10100;S = 0.92986
N = 10600;S = 0.978634
N = 11100;S = 0.944186
N = 11600;S = 0.934498
N = 12100;S = 0.941681
N = 12600;S = 0.909714
N = 13100;S = 0.963308
N = 13600;S = 0.997234
N = 14100;S = 0.954286
N = 14600;S = 0.956232
N = 15100;S = 0.932295
N = 15600;S = 0.944792
N = 16100;S = 0.945644
N = 16600;S = 0.924774
N = 17100;S = 0.923887
N = 17600;S = 0.962271
N = 18100;S = 0.934614
N = 18600;S = 0.986326
N = 19100;S = 0.914695
N = 19600;S = 0.944436
N = 20100;S = 0.946578
N = 20600;S = 0.951448
N = 21100;S = 0.928902
N = 21600;S = 0.95601
N = 22100;S = 0.973973
N = 22600;S = 0.949844
N = 23100;S = 0.926339
N = 23600;S = 0.932254
N = 24100;S = 0.957691
N = 24600;S = 0.978537
N = 25100;S = 0.972988
N = 25600;S = 0.939174
N = 26100;S = 0.922299
N = 26600;S = 0.941878
N = 27100;S = 0.936697
N = 27600;S = 0.948613
N = 28100;S = 0.962872
N = 28600;S = 0.935161
N = 29100;S = 0.941811
N = 29600;S = 0.971885
N = 30100;S = 0.973183
N = 30600;S = 0.953468
N = 31100;S = 0.934388
N = 31600;S = 0.966983
N = 32100;S = 0.961007
N = 32600;S = 0.915849
N = 33100;S = 0.960759
N = 33600;S = 0.957457
N = 34100;S = 0.966226
N = 34600;S = 0.951421
N = 35100;S = 0.942022
N = 35600;S = 0.923876
N = 36100;S = 0.937203
N = 36600;S = 0.932103
N = 37100;S = 0.949415
N = 37600;S = 0.94222
N = 38100;S = 0.962007
N = 38600;S = 0.938967
N = 39100;S = 0.963511
N = 39600;S = 0.967303
N = 40100;S = 0.939241
N = 40600;S = 0.959043
N = 41100;S = 0.927743
N = 41600;S = 0.969175
N = 42100;S = 0.941038
N = 42600;S = 0.924516
N = 43100;S = 0.920332
N = 43600;S = 0.940996
N = 44100;S = 0.92239
N = 44600;S = 0.93472
N = 45100;S = 0.970273
N = 45600;S = 0.940446
N = 46100;S = 0.955131
N = 46600;S = 0.953854
N = 47100;S = 0.961893
N = 47600;S = 0.95424
N = 48100;S = 0.952203
N = 48600;S = 0.937606
N = 49100;S = 0.950037
N = 49600;S = 0.933795
N = 50100;S = 0.956495
N = 50600;S = 0.922258
N = 51100;S = 0.949763
N = 51600;S = 0.939241
N = 52100;S = 0.935826
N = 52600;S = 0.941532
N = 53100;S = 0.962144
N = 53600;S = 0.940834
N = 54100;S = 0.960892
N = 54600;S = 0.944792
N = 55100;S = 0.924044
N = 55600;S = 0.922029
N = 56100;S = 0.95783
N = 56600;S = 0.935455
N = 57100;S = 0.942077
N = 57600;S = 0.935249
N = 58100;S = 0.964182
N = 58600;S = 0.949982
N = 59100;S = 0.955434
N = 59600;S = 0.949866
N = 60100;S = 0.946169
N = 60600;S = 0.924566
N = 61100;S = 0.926865
N = 61600;S = 0.937334
N = 62100;S = 0.938084
N = 62600;S = 0.966623
N = 63100;S = 0.9528
N = 63600;S = 0.927119
N = 64100;S = 0.940666
N = 64600;S = 0.94076
N = 65100;S = 0.931294
N = 65600;S = 0.954577
N = 66100;S = 0.94515
N = 66600;S = 0.953236
N = 67100;S = 0.949466
N = 67600;S = 0.943306
N = 68100;S = 0.937094
N = 68600;S = 0.940893
N = 69100;S = 0.945059
N = 69600;S = 0.940365
N = 70100;S = 0.968192
N = 70600;S = 0.930075
N = 71100;S = 0.956899
N = 71600;S = 0.943292
N = 72100;S = 0.941065
N = 72600;S = 0.932977
N = 73100;S = 0.954525
N = 73600;S = 0.951871
N = 74100;S = 0.93797
N = 74600;S = 0.966219
N = 75100;S = 0.941662
N = 75600;S = 0.943922
N = 76100;S = 0.948068
N = 76600;S = 0.939468
N = 77100;S = 0.954938
N = 77600;S = 0.95079
N = 78100;S = 0.945699
N = 78600;S = 0.958236
N = 79100;S = 0.943699
N = 79600;S = 0.944
N = 80100;S = 0.949759
N = 80600;S = 0.960031
N = 81100;S = 0.929537
N = 81600;S = 0.945287
N = 82100;S = 0.932662
N = 82600;S = 0.939022
N = 83100;S = 0.926937
N = 83600;S = 0.951281
N = 84100;S = 0.9447
N = 84600;S = 0.935554
N = 85100;S = 0.949479
N = 85600;S = 0.943479
N = 86100;S = 0.947824
N = 86600;S = 0.960763
N = 87100;S = 0.941183
N = 87600;S = 0.953235
N = 88100;S = 0.940432
N = 88600;S = 0.94116
N = 89100;S = 0.946572
N = 89600;S = 0.949644
N = 90100;S = 0.944267
N = 90600;S = 0.943455
N = 91100;S = 0.933261
N = 91600;S = 0.938038
N = 92100;S = 0.960707
N = 92600;S = 0.947331
N = 93100;S = 0.939215
N = 93600;S = 0.948739
N = 94100;S = 0.956509
N = 94600;S = 0.939944
N = 95100;S = 0.951154
N = 95600;S = 0.945162
N = 96100;S = 0.961389
N = 96600;S = 0.943027
N = 97100;S = 0.949786
N = 97600;S = 0.957869
N = 98100;S = 0.939806
N = 98600;S = 0.956733
N = 99100;S = 0.947688
N = 99600;S = 0.947323
